2018-05-16 08:12:37 install zlib1g:amd64 <none> 1:1.2.8.dfsg-5
2018-05-16 08:12:37 status half-installed zlib1g:amd64 1:1.2.8.dfsg-5
2018-05-16 08:12:37 status unpacked zlib1g:amd64 1:1.2.8.dfsg-5
2018-05-16 08:12:37 status unpacked zlib1g:amd64 1:1.2.8.dfsg-5
2018-05-16 08:12:37 install libc-bin:amd64 <none> 2.24-11+deb9u1
2018-05-16 08:12:37 status half-installed libc-bin:amd64 2.24-11+deb9u1
2018-05-16 08:12:38 status unpacked libc-bin:amd64 2.24-11+deb9u1
2018-05-16 08:12:38 status unpacked libc-bin:amd64 2.24-11+deb9u1
2018-05-16 08:12:38 install login:amd64 <none> 1:4.4-4.1
2018-05-16 08:12:38 status half-installed login:amd64 1:4.4-4.1
2018-05-16 08:12:38 status unpacked login:amd64 1:4.4-4.1
2018-05-16 08:12:38 status unpacked login:amd64 1:4.4-4.1
2018-05-16 08:12:38 install libcap-ng0:amd64 <none> 0.7.7-3+b1
2018-05-16 08:12:38 status half-installed libcap-ng0:amd64 0.7.7-3+b1
2018-05-16 08:12:38 status unpacked libcap-ng0:amd64 0.7.7-3+b1
2018-05-16 08:12:38 status unpacked libcap-ng0:amd64 0.7.7-3+b1
2018-05-16 08:12:38 upgrade base-files:amd64 9.9+deb9u4 9.9+deb9u4
2018-05-16 08:12:38 status half-configured base-files:amd64 9.9+deb9u4
2018-05-16 08:12:38 status unpacked base-files:amd64 9.9+deb9u4
2018-05-16 08:12:38 status half-installed base-files:amd64 9.9+deb9u4
2018-05-16 08:12:38 status half-installed base-files:amd64 9.9+deb9u4
2018-05-16 08:12:38 status unpacked base-files:amd64 9.9+deb9u4
2018-05-16 08:12:38 status unpacked base-files:amd64 9.9+deb9u4
2018-05-16 08:12:38 install findutils:amd64 <none> 4.6.0+git+20161106-2
2018-05-16 08:12:38 status half-installed findutils:amd64 4.6.0+git+20161106-2
2018-05-16 08:12:38 status unpacked findutils:amd64 4.6.0+git+20161106-2
2018-05-16 08:12:38 status unpacked findutils:amd64 4.6.0+git+20161106-2
2018-05-16 08:12:38 install libss2:amd64 <none> 1.43.4-2
